pitcher,batter,pitch_type,velocity,spin,ivb,hb,plate_x,plate_z,count_balls,count_strikes,result,batter_side,pitcher_hand,date
OPP-11,H06,Fastball,91.8,2229,11.4,7.1,0.121,2.429,1,0,StrikeCalled,R,R,2026-09-04
OPP-11,H06,Fastball,91.1,2191,16.3,5.9,0.184,1.081,1,1,BallCalled,R,R,2026-09-04
OPP-11,H06,Fastball,89.9,2056,18.6,2.4,0.396,2.948,2,1,InPlay,R,R,2026-09-04
OPP-11,H08,Fastball,91.6,2397,8.0,9.6,0.982,2.632,0,0,BallCalled,R,R,2026-09-04
OPP-11,H08,Fastball,91.6,2057,16.3,9.9,-0.505,2.415,1,0,StrikeCalled,R,R,2026-09-04
OPP-11,H08,Fastball,90.4,2306,16.7,9.5,-0.718,2.232,1,1,InPlay,R,R,2026-09-04
OPP-11,H06,Slider,81.6,2355,3.5,-7.3,0.879,1.407,0,0,BallCalled,R,R,2026-09-04
OPP-11,H06,Fastball,88.9,2311,15.8,5.4,-0.667,2.916,1,0,StrikeCalled,R,R,2026-09-04
OPP-11,H06,Slider,82.0,2416,0.0,-5.8,-0.722,2.356,1,1,StrikeCalled,R,R,2026-09-04
OPP-11,H06,Fastball,92.2,2071,13.4,7.7,1.453,3.109,1,2,BallCalled,R,R,2026-09-04
OPP-11,H06,Fastball,89.0,2381,15.8,6.9,-0.421,1.365,2,2,BallCalled,R,R,2026-09-04
OPP-11,H06,Slider,80.2,2483,4.9,-0.4,1.692,0.852,3,2,FoulBall,R,R,2026-09-04
OPP-11,H06,Slider,81.5,2313,4.3,-2.5,-0.924,2.773,3,2,FoulBall,R,R,2026-09-04
OPP-11,H06,Slider,80.5,2129,2.8,-8.1,1.497,0.137,3,2,StrikeSwinging,R,R,2026-09-04
OPP-11,H04,Slider,81.0,2180,-3.2,-7.9,-0.19,2.157,0,0,StrikeCalled,R,R,2026-09-04
OPP-11,H04,Curveball,75.2,2506,-3.5,-8.8,-0.199,0.6,0,1,BallCalled,R,R,2026-09-04
OPP-11,H04,Fastball,90.8,2271,15.2,9.1,0.632,2.078,1,1,FoulBall,R,R,2026-09-04
OPP-11,H04,Fastball,88.3,2165,17.5,9.9,0.48,2.356,1,2,InPlay,R,R,2026-09-04
OPP-11,H02,Fastball,89.3,2235,16.0,5.8,-0.111,2.49,0,0,StrikeSwinging,R,R,2026-09-04
OPP-11,H02,Fastball,91.0,2306,16.5,13.2,0.623,3.292,0,1,FoulBall,R,R,2026-09-04
OPP-11,H02,Changeup,83.5,1616,8.6,10.4,-0.226,3.216,0,2,FoulBall,R,R,2026-09-04
OPP-11,H02,Changeup,83.8,1922,10.7,11.9,1.564,0.169,0,2,FoulBall,R,R,2026-09-04
OPP-11,H02,Slider,81.1,2214,-3.2,-6.0,1.127,1.732,0,2,StrikeSwinging,R,R,2026-09-04
OPP-11,H09,Curveball,74.4,2666,-5.8,-5.7,0.306,1.856,0,0,FoulBall,R,R,2026-09-04
OPP-11,H09,Slider,81.3,2219,0.2,-5.5,-0.93,2.131,0,1,BallCalled,R,R,2026-09-04
OPP-11,H09,Changeup,80.2,1665,10.9,12.9,-0.392,1.68,1,1,FoulBall,R,R,2026-09-04
OPP-11,H09,Fastball,90.1,2337,12.9,7.7,0.321,2.63,1,2,InPlay,R,R,2026-09-04
OPP-11,H05,Fastball,89.1,2169,14.2,14.0,1.658,3.786,0,0,BallCalled,L,R,2026-09-04
OPP-11,H05,Fastball,89.7,2168,16.1,11.0,-1.002,2.562,1,0,BallCalled,L,R,2026-09-04
OPP-11,H05,Slider,83.7,2601,5.3,-6.2,0.344,1.748,2,0,StrikeSwinging,L,R,2026-09-04
OPP-11,H05,Changeup,82.8,1571,7.1,16.2,0.395,2.343,2,1,StrikeCalled,L,R,2026-09-04
OPP-11,H05,Slider,76.0,2206,-0.7,-6.6,-0.161,2.371,2,2,FoulBall,L,R,2026-09-04
OPP-11,H05,Curveball,75.9,2457,-1.2,-14.8,1.575,5.176,2,2,InPlay,L,R,2026-09-04
OPP-11,H03,Fastball,90.1,2305,14.9,7.7,0.919,2.31,0,0,BallCalled,R,R,2026-09-04
OPP-11,H03,Fastball,93.1,2248,15.3,11.6,-0.321,2.506,1,0,FoulBall,R,R,2026-09-04
OPP-11,H03,Changeup,81.9,1801,8.1,14.2,1.396,2.342,1,1,StrikeSwinging,R,R,2026-09-04
OPP-11,H03,Fastball,88.3,2078,14.7,10.7,-1.567,4.12,1,2,StrikeSwinging,R,R,2026-09-04
OPP-11,H04,Changeup,82.1,1829,5.7,12.2,0.746,1.981,0,0,FoulBall,R,R,2026-09-04
OPP-11,H04,Changeup,83.2,1814,6.3,18.3,-0.762,2.409,0,1,StrikeCalled,R,R,2026-09-04
OPP-11,H04,Slider,77.7,2655,-1.2,-1.0,-1.382,1.466,0,2,BallCalled,R,R,2026-09-04
OPP-11,H04,Slider,80.5,2158,0.5,-1.5,-1.428,1.462,1,2,StrikeSwinging,R,R,2026-09-04
OPP-11,H05,Fastball,91.6,2089,14.0,9.3,-0.416,0.846,0,0,StrikeSwinging,R,R,2026-09-04
OPP-11,H05,Slider,78.2,2510,6.2,-8.5,-0.856,3.188,0,1,BallCalled,R,R,2026-09-04
OPP-11,H05,Fastball,90.9,2263,17.1,13.8,0.094,3.639,1,1,BallCalled,R,R,2026-09-04
OPP-11,H05,Fastball,91.5,2315,9.9,9.1,0.44,3.293,2,1,FoulBall,R,R,2026-09-04
OPP-11,H05,Slider,79.9,2483,3.1,-4.8,-0.568,3.341,2,2,StrikeSwinging,R,R,2026-09-04
OPP-11,H05,Fastball,90.5,2153,17.3,6.1,0.877,3.818,0,0,StrikeSwinging,R,R,2026-09-04
OPP-11,H05,Changeup,81.4,1772,7.8,10.9,-0.402,1.219,0,1,StrikeSwinging,R,R,2026-09-04
OPP-11,H05,Fastball,89.7,2250,15.5,7.8,1.086,3.164,0,2,BallCalled,R,R,2026-09-04
OPP-11,H05,Fastball,92.2,2465,13.3,8.8,0.117,0.856,1,2,BallCalled,R,R,2026-09-04
OPP-11,H05,Changeup,79.3,1644,9.4,18.1,1.117,3.979,2,2,StrikeSwinging,R,R,2026-09-04
OPP-11,H08,Curveball,76.7,2425,-2.0,-2.8,-1.364,2.771,0,0,BallCalled,R,R,2026-09-04
OPP-11,H08,Curveball,75.7,2726,-10.2,-10.1,-0.185,2.094,1,0,StrikeSwinging,R,R,2026-09-04
OPP-11,H08,Slider,82.4,2224,4.2,-0.3,-0.264,4.646,1,1,BallCalled,R,R,2026-09-04
OPP-11,H08,Fastball,90.6,2290,15.8,8.5,-0.167,2.65,2,1,StrikeSwinging,R,R,2026-09-04
OPP-11,H08,Changeup,84.4,1589,8.9,12.8,2.247,2.98,2,2,BallCalled,R,R,2026-09-04
OPP-11,H08,Fastball,92.7,2142,14.7,9.5,-0.89,0.837,3,2,BallCalled,R,R,2026-09-04
OPP-11,H07,Changeup,80.8,1785,9.8,10.9,0.034,2.296,0,0,InPlay,R,R,2026-09-04
OPP-11,H02,Fastball,92.6,2172,16.0,11.5,-0.383,1.923,0,0,StrikeCalled,L,R,2026-09-04
OPP-11,H02,Slider,79.8,2500,2.1,-6.7,-2.3,0.437,0,1,StrikeSwinging,L,R,2026-09-04
OPP-11,H02,Slider,81.8,2215,-0.5,-3.2,-1.511,0.299,0,2,StrikeSwinging,L,R,2026-09-04
OPP-11,H07,Fastball,89.1,2280,16.9,7.9,-0.278,3.724,0,0,BallCalled,R,R,2026-09-04
OPP-11,H07,Slider,80.6,2263,3.1,-7.5,0.71,2.467,1,0,StrikeSwinging,R,R,2026-09-04
OPP-11,H07,Fastball,93.1,2249,16.2,7.3,-0.414,3.14,1,1,StrikeCalled,R,R,2026-09-04
OPP-11,H07,Fastball,90.1,2216,14.7,9.2,0.838,0.794,1,2,FoulBall,R,R,2026-09-04
OPP-11,H07,Curveball,73.9,2764,-8.3,-6.5,1.707,2.22,1,2,StrikeSwinging,R,R,2026-09-04
OPP-11,H07,Fastball,91.4,2083,17.3,6.6,-0.421,3.224,0,0,FoulBall,R,R,2026-09-04
OPP-11,H07,Fastball,92.6,2210,15.8,6.7,1.124,3.494,0,1,FoulBall,R,R,2026-09-04
OPP-11,H07,Slider,80.9,2341,2.9,-1.8,1.246,1.369,0,2,BallCalled,R,R,2026-09-04
OPP-11,H07,Curveball,74.3,2507,-5.3,-8.5,-0.332,0.081,1,2,BallCalled,R,R,2026-09-04
OPP-11,H07,Slider,82.5,2216,0.7,-8.7,1.794,2.517,2,2,FoulBall,R,R,2026-09-04
OPP-11,H07,Changeup,81.4,1719,12.8,7.9,-1.333,1.088,2,2,BallCalled,R,R,2026-09-04
OPP-11,H07,Changeup,85.8,1676,9.8,10.7,-0.177,3.085,3,2,StrikeSwinging,R,R,2026-09-04
OPP-11,H09,Curveball,76.1,2579,-6.8,-11.5,0.395,2.684,0,0,StrikeCalled,L,R,2026-09-04
OPP-11,H09,Fastball,88.6,2266,16.9,8.5,-0.576,4.747,0,1,BallCalled,L,R,2026-09-04
OPP-11,H09,Slider,80.8,2262,3.7,-1.9,-0.481,2.129,1,1,StrikeCalled,L,R,2026-09-04
OPP-11,H09,Changeup,85.5,1841,9.1,11.9,1.032,3.971,1,2,InPlay,L,R,2026-09-04
OPP-11,H09,Changeup,79.7,2167,8.7,13.0,-1.689,2.32,0,0,BallCalled,R,R,2026-09-04
OPP-11,H09,Fastball,90.7,2145,12.6,4.6,0.84,2.877,1,0,BallCalled,R,R,2026-09-04
OPP-11,H09,Fastball,88.3,2329,16.4,10.7,-0.339,3.04,2,0,StrikeCalled,R,R,2026-09-04
OPP-11,H09,Fastball,92.9,2460,15.9,12.8,-0.563,2.061,2,1,HitByPitch,R,R,2026-09-04
OPP-11,H04,Fastball,90.9,2338,14.3,12.0,-1.095,2.323,0,0,BallCalled,R,R,2026-09-05
OPP-11,H04,Changeup,82.9,1735,9.1,13.7,-0.775,1.362,1,0,BallCalled,R,R,2026-09-05
OPP-11,H04,Fastball,89.7,2368,14.9,9.1,0.743,2.929,2,0,FoulBall,R,R,2026-09-05
OPP-11,H04,Changeup,83.3,1836,12.3,7.1,0.559,2.056,2,1,StrikeCalled,R,R,2026-09-05
OPP-11,H04,Curveball,75.6,2605,-2.8,-12.1,0.308,3.497,2,2,StrikeSwinging,R,R,2026-09-05
OPP-11,H03,Slider,83.3,2675,1.7,-9.1,-1.575,2.125,0,0,BallCalled,R,R,2026-09-05
OPP-11,H03,Fastball,91.3,2156,15.6,8.3,0.246,3.681,1,0,BallCalled,R,R,2026-09-05
OPP-11,H03,Fastball,88.2,2343,17.5,6.0,0.407,1.818,2,0,StrikeCalled,R,R,2026-09-05
OPP-11,H03,Slider,81.4,2412,1.4,-5.3,-0.159,2.505,2,1,StrikeCalled,R,R,2026-09-05
OPP-11,H03,Curveball,76.5,2538,-5.5,-1.0,1.744,0.985,2,2,BallCalled,R,R,2026-09-05
OPP-11,H03,Slider,78.9,2255,-0.2,-2.7,-0.771,0.869,3,2,BallCalled,R,R,2026-09-05
OPP-11,H02,Slider,81.0,2246,2.4,-4.4,-1.04,1.785,0,0,BallCalled,L,R,2026-09-05
OPP-11,H02,Fastball,87.9,2361,15.6,9.9,-0.017,3.238,1,0,FoulBall,L,R,2026-09-05
OPP-11,H02,Changeup,82.3,1725,6.4,8.7,1.623,2.148,1,1,BallCalled,L,R,2026-09-05
OPP-11,H02,Changeup,81.0,1646,11.6,11.7,-0.244,2.031,2,1,FoulBall,L,R,2026-09-05
OPP-11,H02,Fastball,91.1,2348,12.3,7.8,-0.285,3.681,2,2,BallCalled,L,R,2026-09-05
OPP-11,H02,Slider,82.3,2241,1.6,-5.3,0.836,4.0,3,2,BallCalled,L,R,2026-09-05
OPP-11,H03,Fastball,89.5,2244,15.2,8.5,1.408,2.865,0,0,BallCalled,R,R,2026-09-05
OPP-11,H03,Fastball,90.2,2067,14.2,5.4,-0.047,3.057,1,0,StrikeCalled,R,R,2026-09-05
OPP-11,H03,Slider,81.9,2241,4.0,-7.1,0.602,2.198,1,1,StrikeSwinging,R,R,2026-09-05
OPP-11,H03,Slider,81.8,2520,0.3,-0.0,1.811,0.21,1,2,BallCalled,R,R,2026-09-05
OPP-11,H03,Slider,82.4,2266,5.2,-5.2,-0.077,1.943,2,2,StrikeCalled,R,R,2026-09-05
OPP-11,H05,Slider,78.6,2246,0.6,-6.4,1.37,2.387,0,0,BallCalled,R,R,2026-09-05
OPP-11,H05,Changeup,80.7,1932,11.6,9.3,-0.218,2.684,1,0,StrikeSwinging,R,R,2026-09-05
OPP-11,H05,Fastball,92.0,2181,11.9,7.8,0.247,3.173,1,1,FoulBall,R,R,2026-09-05
OPP-11,H05,Fastball,90.3,2215,13.0,10.6,0.568,4.362,1,2,BallCalled,R,R,2026-09-05
OPP-11,H05,Slider,77.3,2307,3.6,-0.4,-1.583,1.196,2,2,BallCalled,R,R,2026-09-05
OPP-11,H05,Fastball,91.0,2355,14.9,8.6,1.756,1.185,3,2,BallCalled,R,R,2026-09-05
OPP-11,H06,Slider,82.2,2410,2.4,-5.3,-0.667,1.457,0,0,BallCalled,R,R,2026-09-05
OPP-11,H06,Changeup,81.1,1556,8.2,11.9,0.659,1.555,1,0,InPlay,R,R,2026-09-05
OPP-11,H05,Fastball,91.1,2283,13.6,8.3,-1.49,4.871,0,0,StrikeSwinging,R,R,2026-09-05
OPP-11,H05,Fastball,91.8,2105,15.1,9.4,2.53,2.141,0,1,BallCalled,R,R,2026-09-05
OPP-11,H05,Fastball,92.3,2380,13.3,9.0,0.059,2.497,1,1,InPlay,R,R,2026-09-05
OPP-11,H09,Fastball,92.8,2153,16.8,3.7,-0.338,4.386,0,0,BallCalled,R,R,2026-09-05
OPP-11,H09,Fastball,94.2,2174,13.0,14.6,0.536,2.903,1,0,FoulBall,R,R,2026-09-05
OPP-11,H09,Fastball,87.7,2257,11.0,8.6,-0.267,1.829,1,1,StrikeCalled,R,R,2026-09-05
OPP-11,H09,Fastball,91.1,2169,14.8,9.8,-0.675,3.355,1,2,StrikeCalled,R,R,2026-09-05
OPP-11,H05,Fastball,91.4,2326,12.6,13.5,1.364,2.26,0,0,BallCalled,R,R,2026-09-05
OPP-11,H05,Fastball,90.1,2266,17.0,7.8,0.055,2.25,1,0,StrikeCalled,R,R,2026-09-05
OPP-11,H05,Changeup,82.8,1783,6.7,14.2,-0.342,2.884,1,1,StrikeCalled,R,R,2026-09-05
OPP-11,H05,Curveball,75.2,2577,-5.3,-11.7,-0.676,4.104,1,2,InPlay,R,R,2026-09-05
OPP-11,H08,Fastball,91.7,2247,14.1,10.4,0.329,2.631,0,0,StrikeCalled,R,R,2026-09-05
OPP-11,H08,Slider,81.5,2228,1.9,-4.9,-0.753,2.94,0,1,FoulBall,R,R,2026-09-05
OPP-11,H08,Changeup,82.2,1895,6.7,12.1,-0.562,2.473,0,2,InPlay,R,R,2026-09-05
OPP-11,H02,Fastball,90.2,2332,15.9,15.6,1.639,1.994,0,0,FoulBall,L,R,2026-09-05
OPP-11,H02,Slider,82.3,2484,-0.5,-2.0,-3.044,2.786,0,1,BallCalled,L,R,2026-09-05
OPP-11,H02,Slider,80.5,2281,2.5,-5.2,-0.898,2.612,1,1,InPlay,L,R,2026-09-05
OPP-11,H02,Slider,82.2,2555,-0.5,-6.1,1.269,0.728,0,0,BallCalled,L,R,2026-09-05
OPP-11,H02,Fastball,90.0,2187,14.8,6.2,0.069,3.042,1,0,StrikeCalled,L,R,2026-09-05
OPP-11,H02,Changeup,84.6,2068,6.0,18.1,0.786,1.301,1,1,InPlay,L,R,2026-09-05
OPP-11,H08,Fastball,89.9,2369,12.8,7.0,-0.734,2.97,0,0,InPlay,R,R,2026-09-05
OPP-11,H02,Fastball,90.4,2310,15.7,6.1,-0.684,2.735,0,0,FoulBall,R,R,2026-09-05
OPP-11,H02,Fastball,90.0,2316,15.6,9.8,1.752,4.38,0,1,BallCalled,R,R,2026-09-05
OPP-11,H02,Slider,78.9,2573,1.0,-6.7,0.516,1.15,1,1,BallCalled,R,R,2026-09-05
OPP-11,H02,Fastball,90.8,2315,15.6,13.4,-0.886,2.286,2,1,HitByPitch,R,R,2026-09-05
OPP-11,H03,Changeup,83.3,1555,8.2,15.2,0.297,1.3,0,0,BallCalled,L,R,2026-09-05
OPP-11,H03,Changeup,82.5,1650,7.7,10.2,0.637,1.808,1,0,StrikeCalled,L,R,2026-09-05
OPP-11,H03,Fastball,91.7,2034,17.4,8.2,-1.039,2.197,1,1,BallCalled,L,R,2026-09-05
OPP-11,H03,Fastball,89.7,2327,14.6,4.5,-0.262,2.566,2,1,StrikeCalled,L,R,2026-09-05
OPP-11,H03,Changeup,82.4,1892,8.3,14.1,1.244,0.736,2,2,InPlay,L,R,2026-09-05
OPP-11,H03,Slider,82.4,2293,2.2,-8.9,-1.289,2.645,0,0,StrikeSwinging,L,R,2026-09-05
OPP-11,H03,Curveball,78.7,2565,-6.8,-8.5,-0.245,3.101,0,1,StrikeCalled,L,R,2026-09-05
OPP-11,H03,Fastball,88.1,2198,11.5,6.9,-0.112,3.52,0,2,BallCalled,L,R,2026-09-05
OPP-11,H03,Changeup,82.2,1976,5.5,13.3,0.745,-0.147,1,2,BallCalled,L,R,2026-09-05
OPP-11,H03,Fastball,89.5,2243,15.0,11.2,2.32,3.222,2,2,BallCalled,L,R,2026-09-05
OPP-11,H03,Fastball,89.9,2171,11.2,4.2,-0.118,1.945,3,2,StrikeSwinging,L,R,2026-09-05
OPP-11,H04,Slider,79.2,2214,3.5,-8.0,-0.121,2.196,0,0,InPlay,L,R,2026-09-05
OPP-11,H02,Fastball,90.9,2147,16.1,14.5,-0.249,1.699,0,0,StrikeCalled,R,R,2026-09-05
OPP-11,H02,Fastball,90.2,2442,12.6,13.7,-0.246,3.351,0,1,FoulBall,R,R,2026-09-05
OPP-11,H02,Fastball,90.0,2225,14.4,8.1,-1.093,3.177,0,2,BallCalled,R,R,2026-09-05
OPP-11,H02,Changeup,82.8,1814,5.4,12.3,-1.366,2.543,1,2,StrikeSwinging,R,R,2026-09-05
OPP-11,H01,Slider,80.5,2475,3.9,-7.0,0.578,3.179,0,0,InPlay,L,R,2026-09-05
OPP-11,H07,Slider,81.0,2308,2.8,-3.4,0.438,0.017,0,0,BallCalled,R,R,2026-09-05
OPP-11,H07,Slider,81.6,2304,1.0,-6.1,0.193,1.519,1,0,StrikeCalled,R,R,2026-09-05
OPP-11,H07,Fastball,90.4,2237,11.7,6.3,-0.54,2.877,1,1,StrikeCalled,R,R,2026-09-05
OPP-11,H07,Fastball,92.3,2167,15.4,8.0,-0.932,4.361,1,2,FoulBall,R,R,2026-09-05
OPP-11,H07,Slider,79.1,2081,0.1,-5.4,-1.529,4.056,1,2,StrikeSwinging,R,R,2026-09-05
OPP-11,H09,Curveball,76.7,2452,-4.0,-7.3,-1.459,2.908,0,0,BallCalled,L,R,2026-09-05
OPP-11,H09,Fastball,89.7,2455,14.7,11.1,0.04,2.765,1,0,StrikeCalled,L,R,2026-09-05
OPP-11,H09,Fastball,90.3,2139,16.7,13.1,0.374,3.108,1,1,StrikeCalled,L,R,2026-09-05
OPP-11,H09,Fastball,90.8,2171,16.2,2.8,1.489,3.379,1,2,InPlay,L,R,2026-09-05
OPP-11,H04,Fastball,90.1,2221,13.2,8.8,1.139,2.513,0,0,BallCalled,R,R,2026-09-05
OPP-11,H04,Fastball,88.3,2213,12.7,14.3,0.982,2.883,1,0,BallCalled,R,R,2026-09-05
OPP-11,H04,Fastball,91.2,2335,14.3,7.9,-0.027,2.949,2,0,FoulBall,R,R,2026-09-05
OPP-11,H04,Slider,80.4,2314,4.1,-9.4,-0.476,2.302,2,1,StrikeCalled,R,R,2026-09-05
OPP-11,H04,Slider,82.3,2187,1.6,-3.7,1.217,2.316,2,2,BallCalled,R,R,2026-09-05
OPP-11,H04,Fastball,90.1,2428,16.6,10.1,0.032,4.286,3,2,InPlay,R,R,2026-09-05
OPP-11,H07,Slider,79.6,2556,5.2,-8.7,0.181,1.876,0,0,StrikeSwinging,L,R,2026-09-05
OPP-11,H07,Slider,76.9,2475,1.5,-10.8,0.292,1.436,0,1,FoulBall,L,R,2026-09-05
OPP-11,H07,Slider,79.5,2063,2.9,-3.4,-0.127,2.058,0,2,FoulBall,L,R,2026-09-05
OPP-11,H07,Changeup,80.8,1695,11.7,12.0,-0.73,2.545,0,2,InPlay,L,R,2026-09-05
OPP-11,H01,Fastball,89.2,2230,11.1,13.0,-0.432,2.784,0,0,HitByPitch,L,R,2026-09-05
OPP-11,H07,Fastball,91.5,2315,13.7,10.8,0.138,4.188,0,0,FoulBall,R,R,2026-09-05
OPP-11,H07,Slider,78.9,2200,1.2,-3.5,-0.418,2.172,0,1,StrikeCalled,R,R,2026-09-05
OPP-11,H07,Slider,80.2,2380,2.8,-3.0,-0.935,3.034,0,2,BallCalled,R,R,2026-09-05
OPP-11,H07,Fastball,86.9,2330,14.2,16.8,0.018,2.077,1,2,InPlay,R,R,2026-09-05
OPP-11,H06,Fastball,92.6,2190,13.8,10.1,-1.283,1.292,0,0,BallCalled,L,R,2026-09-05
OPP-11,H06,Slider,82.0,2580,6.9,-5.8,-0.504,1.478,1,0,BallCalled,L,R,2026-09-05
OPP-11,H06,Fastball,91.1,2151,13.3,14.1,-0.574,2.145,2,0,FoulBall,L,R,2026-09-05
OPP-11,H06,Fastball,93.0,2220,15.6,9.4,-0.588,1.824,2,1,StrikeCalled,L,R,2026-09-05
OPP-11,H06,Slider,79.6,2456,5.9,-10.9,-0.762,0.135,2,2,StrikeSwinging,L,R,2026-09-05
OPP-11,H03,Fastball,91.9,2076,19.0,8.7,0.037,2.95,0,0,StrikeSwinging,R,R,2026-09-06
OPP-11,H03,Slider,84.5,2367,0.2,-3.3,-1.568,3.895,0,1,StrikeSwinging,R,R,2026-09-06
OPP-11,H03,Changeup,83.8,1786,15.3,17.8,0.528,-0.371,0,2,BallCalled,R,R,2026-09-06
OPP-11,H03,Fastball,89.7,2097,14.2,10.4,-1.396,2.176,1,2,FoulBall,R,R,2026-09-06
OPP-11,H03,Slider,83.5,2465,7.4,-9.5,-1.109,2.401,1,2,BallCalled,R,R,2026-09-06
OPP-11,H03,Changeup,82.4,1821,6.6,8.1,-0.435,2.391,2,2,StrikeCalled,R,R,2026-09-06
OPP-11,H03,Changeup,81.1,1689,10.4,15.5,-0.84,1.509,0,0,BallCalled,R,R,2026-09-06
OPP-11,H03,Fastball,91.5,2292,11.1,16.6,0.15,2.445,1,0,StrikeCalled,R,R,2026-09-06
OPP-11,H03,Fastball,92.3,2067,17.0,11.6,-1.606,4.673,1,1,BallCalled,R,R,2026-09-06
OPP-11,H03,Fastball,91.5,2165,12.5,8.0,0.616,2.906,2,1,StrikeCalled,R,R,2026-09-06
OPP-11,H03,Slider,82.5,2613,7.4,-8.1,-1.512,1.992,2,2,BallCalled,R,R,2026-09-06
OPP-11,H03,Slider,79.9,2579,-1.5,-7.6,-0.524,0.815,3,2,InPlay,R,R,2026-09-06
OPP-11,H04,Fastball,91.2,2137,15.1,10.0,-0.248,2.384,0,0,StrikeSwinging,L,R,2026-09-06
OPP-11,H04,Fastball,90.1,2240,10.3,3.7,0.611,2.154,0,1,StrikeCalled,L,R,2026-09-06
OPP-11,H04,Changeup,83.5,1652,12.1,6.9,-1.619,-0.54,0,2,BallCalled,L,R,2026-09-06
OPP-11,H04,Slider,83.5,2705,-0.7,-6.6,1.484,3.875,1,2,BallCalled,L,R,2026-09-06
OPP-11,H04,Slider,79.7,2399,4.2,-10.2,-0.644,-1.086,2,2,BallCalled,L,R,2026-09-06
OPP-11,H04,Slider,80.1,2288,4.6,-9.9,-1.502,2.96,3,2,BallCalled,L,R,2026-09-06
OPP-11,H06,Fastball,88.5,2344,14.1,7.1,2.389,2.688,0,0,BallCalled,R,R,2026-09-06
OPP-11,H06,Fastball,89.8,2262,14.9,6.6,-0.22,2.949,1,0,StrikeCalled,R,R,2026-09-06
OPP-11,H06,Fastball,89.8,2193,17.0,12.7,-0.804,2.017,1,1,InPlay,R,R,2026-09-06
OPP-11,H07,Curveball,77.1,2433,-4.1,-12.9,1.908,1.49,0,0,BallCalled,L,R,2026-09-06
OPP-11,H07,Fastball,89.8,2518,17.4,10.5,0.324,2.662,1,0,InPlay,L,R,2026-09-06
OPP-11,H06,Fastball,90.3,2227,12.8,10.2,-0.371,2.406,0,0,FoulBall,R,R,2026-09-06
OPP-11,H06,Fastball,87.8,2435,15.4,12.7,-0.236,2.145,0,1,FoulBall,R,R,2026-09-06
OPP-11,H06,Slider,82.0,2366,-0.5,-10.0,0.033,1.005,0,2,BallCalled,R,R,2026-09-06
OPP-11,H06,Curveball,78.5,2547,-1.4,-7.7,1.122,1.854,1,2,FoulBall,R,R,2026-09-06
OPP-11,H06,Slider,80.4,2498,-4.4,-6.2,0.585,1.791,1,2,FoulBall,R,R,2026-09-06
OPP-11,H06,Changeup,83.6,1780,10.3,7.4,0.571,-0.864,1,2,BallCalled,R,R,2026-09-06
OPP-11,H06,Fastball,90.1,2193,12.9,9.5,1.275,2.848,2,2,BallCalled,R,R,2026-09-06
