Pitcher,Batter,TaggedPitchType,RelSpeed,SpinRate,InducedVertBreak,HorzBreak,PlateLocSide,PlateLocHeight,Balls,Strikes,PitchCall,BatterSide,PitcherThrows,Date
OPP-32,H09,Curveball,75.4,2353,-3.8,-6.4,1.202,3.256,0,2,FoulBall,R,R,2026-08-28
OPP-32,H09,Changeup,84.7,2011,13.0,7.4,1.342,1.514,0,2,BallCalled,R,R,2026-08-28
OPP-32,H09,Slider,79.0,2422,2.8,-2.9,-1.28,3.032,1,2,BallCalled,R,R,2026-08-28
OPP-32,H09,Curveball,76.9,2545,-9.4,-6.6,0.393,2.14,2,2,StrikeSwinging,R,R,2026-08-28
OPP-32,H03,Curveball,76.3,2598,-2.2,-7.3,-0.251,3.433,0,0,InPlay,R,R,2026-08-28
OPP-32,H05,Fastball,92.1,2407,17.4,7.3,-0.887,2.298,0,0,StrikeSwinging,R,R,2026-08-28
OPP-32,H05,Fastball,92.2,2262,17.4,4.2,0.43,3.741,0,1,BallCalled,R,R,2026-08-28
OPP-32,H05,Changeup,81.4,1668,6.4,5.0,-0.309,1.638,1,1,StrikeCalled,R,R,2026-08-28
OPP-32,H05,Fastball,91.6,2296,16.1,8.8,-0.294,1.132,1,2,BallCalled,R,R,2026-08-28
OPP-32,H05,Fastball,91.2,2246,11.3,7.9,0.584,2.693,2,2,StrikeCalled,R,R,2026-08-28
OPP-32,H06,Curveball,74.0,2376,-5.2,-10.4,0.394,1.04,0,0,BallCalled,R,R,2026-08-28
OPP-32,H06,Fastball,92.0,2251,13.6,9.9,0.059,2.869,1,0,FoulBall,R,R,2026-08-28
OPP-32,H06,Slider,84.2,2344,3.5,-3.8,1.582,1.232,1,1,BallCalled,R,R,2026-08-28
OPP-32,H06,Curveball,76.0,2613,-5.9,-8.2,0.356,1.949,2,1,StrikeSwinging,R,R,2026-08-28
OPP-32,H06,Slider,79.0,2564,2.7,-5.7,-0.962,1.538,2,2,BallCalled,R,R,2026-08-28
OPP-32,H06,Slider,81.0,2440,3.1,-4.0,-0.716,2.765,3,2,StrikeSwinging,R,R,2026-08-28
OPP-32,H08,Changeup,83.4,1669,7.9,11.6,-0.277,3.195,0,0,StrikeSwinging,R,R,2026-08-28
OPP-32,H08,Slider,81.5,2274,2.1,-8.9,0.96,3.81,0,1,StrikeSwinging,R,R,2026-08-28
OPP-32,H08,Changeup,83.0,1675,8.6,12.4,-2.514,2.004,0,2,StrikeSwinging,R,R,2026-08-28
OPP-32,H06,Curveball,76.1,2338,-3.3,-14.3,0.819,1.971,0,0,StrikeCalled,R,R,2026-08-28
OPP-32,H06,Slider,81.1,2331,6.8,-2.7,1.755,0.661,0,1,BallCalled,R,R,2026-08-28
OPP-32,H06,Slider,80.7,2562,1.4,-9.6,-0.257,4.402,1,1,BallCalled,R,R,2026-08-28
OPP-32,H06,Fastball,89.6,2127,14.7,9.3,0.046,2.669,2,1,InPlay,R,R,2026-08-28
OPP-32,H02,Slider,83.0,2250,2.7,-8.8,0.179,2.398,0,0,FoulBall,R,R,2026-08-28
OPP-32,H02,Fastball,88.9,2288,14.2,4.6,1.033,2.634,0,1,BallCalled,R,R,2026-08-28
OPP-32,H02,Fastball,91.2,2408,15.4,8.5,0.453,3.671,1,1,BallCalled,R,R,2026-08-28
OPP-32,H02,Slider,78.4,2507,4.3,-9.3,-0.187,2.666,2,1,StrikeCalled,R,R,2026-08-28
OPP-32,H02,Fastball,90.3,2227,15.0,9.6,-1.401,2.952,2,2,BallCalled,R,R,2026-08-28
OPP-32,H02,Changeup,82.0,1556,3.6,12.2,-0.718,3.806,3,2,BallCalled,R,R,2026-08-28
OPP-32,H09,Curveball,74.0,2358,-6.9,-14.1,0.166,4.386,0,0,StrikeSwinging,R,R,2026-08-28
OPP-32,H09,Fastball,90.2,2311,16.5,15.0,-0.226,3.948,0,1,InPlay,R,R,2026-08-28
OPP-32,H03,Slider,79.8,2390,3.2,-11.2,0.011,2.784,0,0,InPlay,R,R,2026-08-28
OPP-32,H01,Curveball,78.2,2403,-7.1,-12.4,-0.926,2.353,0,0,StrikeSwinging,L,R,2026-08-28
OPP-32,H01,Fastball,89.7,2266,17.0,11.0,0.545,1.489,0,1,InPlay,L,R,2026-08-28
OPP-32,H09,Fastball,89.1,2201,11.1,8.8,0.016,3.194,0,0,StrikeCalled,L,R,2026-08-28
OPP-32,H09,Slider,83.3,2404,-0.1,-7.8,-0.638,3.235,0,1,StrikeSwinging,L,R,2026-08-28
OPP-32,H09,Changeup,83.5,1812,11.4,8.2,-0.255,2.181,0,2,StrikeCalled,L,R,2026-08-28
OPP-32,H03,Fastball,90.5,2302,15.9,10.0,-0.189,1.595,0,0,StrikeCalled,L,R,2026-08-28
OPP-32,H03,Curveball,77.5,2335,-9.9,-7.8,1.031,3.805,0,1,FoulBall,L,R,2026-08-28
OPP-32,H03,Curveball,76.2,2535,-3.6,-8.1,0.531,1.553,0,2,FoulBall,L,R,2026-08-28
OPP-32,H03,Fastball,88.8,2180,12.6,4.5,-1.399,2.602,0,2,BallCalled,L,R,2026-08-28
OPP-32,H03,Changeup,83.2,1778,8.6,14.6,-2.945,2.185,1,2,StrikeSwinging,L,R,2026-08-28
OPP-32,H06,Fastball,89.0,2243,12.0,8.3,-0.405,3.634,0,0,BallCalled,R,R,2026-08-28
OPP-32,H06,Changeup,82.5,1817,8.4,9.2,-0.41,1.839,1,0,InPlay,R,R,2026-08-28
OPP-32,H04,Fastball,89.2,2326,14.5,10.9,-0.879,1.904,0,0,FoulBall,R,R,2026-08-28
OPP-32,H04,Fastball,91.3,2456,13.4,14.0,-2.834,1.07,0,1,FoulBall,R,R,2026-08-28
OPP-32,H04,Slider,82.5,2275,1.7,-1.3,0.897,0.82,0,2,BallCalled,R,R,2026-08-28
OPP-32,H04,Fastball,91.3,2246,18.8,13.8,-0.768,2.332,1,2,StrikeSwinging,R,R,2026-08-28
OPP-32,H09,Fastball,89.9,2115,18.1,5.5,0.051,2.314,0,0,InPlay,R,R,2026-08-28
OPP-32,H05,Fastball,89.2,2240,14.8,8.1,0.314,2.423,0,0,StrikeCalled,L,R,2026-08-28
OPP-32,H05,Fastball,90.8,2105,16.3,13.9,0.444,3.439,0,1,FoulBall,L,R,2026-08-28
OPP-32,H05,Changeup,84.1,1652,10.5,10.9,-1.117,2.736,0,2,FoulBall,L,R,2026-08-28
OPP-32,H05,Fastball,89.4,2321,16.5,4.5,-0.791,3.332,0,2,InPlay,L,R,2026-08-28
OPP-32,H08,Changeup,80.9,1648,10.2,14.3,0.651,2.884,0,0,InPlay,L,R,2026-08-28
OPP-32,H04,Curveball,79.4,2438,-4.9,-5.4,-0.163,2.09,0,0,FoulBall,L,R,2026-08-28
OPP-32,H04,Curveball,75.1,2521,-6.9,-10.5,0.507,1.312,0,1,InPlay,L,R,2026-08-28
OPP-32,H05,Fastball,89.7,2272,13.7,6.5,0.637,1.895,0,0,InPlay,R,R,2026-08-28
OPP-32,H01,Fastball,92.4,2254,12.1,9.9,-0.115,3.0,0,0,StrikeCalled,R,R,2026-08-28
OPP-32,H01,Slider,84.4,2514,7.2,-5.0,-0.052,1.763,0,1,StrikeCalled,R,R,2026-08-28
OPP-32,H01,Curveball,77.5,2445,-8.2,-12.7,0.62,4.308,0,2,StrikeSwinging,R,R,2026-08-28
OPP-32,H05,Slider,80.8,2327,6.3,-7.5,0.024,2.59,0,0,FoulBall,R,R,2026-08-28
OPP-32,H05,Curveball,73.7,2417,-7.0,-11.2,-0.462,3.691,0,1,BallCalled,R,R,2026-08-28
OPP-32,H05,Curveball,75.1,2632,-2.1,-6.2,0.673,0.888,1,1,BallCalled,R,R,2026-08-28
OPP-32,H05,Slider,82.5,2413,7.7,-6.3,-0.643,1.922,2,1,StrikeCalled,R,R,2026-08-28
OPP-32,H05,Changeup,81.7,1691,9.6,16.9,0.858,1.943,2,2,BallCalled,R,R,2026-08-28
OPP-32,H05,Curveball,75.9,2599,-2.6,-8.0,3.224,-0.294,3,2,StrikeSwinging,R,R,2026-08-28
OPP-32,H05,Curveball,75.7,2373,-6.0,-7.0,0.925,3.074,0,0,BallCalled,R,R,2026-08-28
OPP-32,H05,Fastball,92.1,2426,14.9,5.2,0.656,2.422,1,0,InPlay,R,R,2026-08-28
OPP-32,H01,Slider,81.7,2446,5.2,-10.2,0.29,3.031,0,0,StrikeCalled,R,R,2026-08-28
OPP-32,H01,Curveball,77.4,2649,-4.3,-9.6,0.886,4.883,0,1,FoulBall,R,R,2026-08-28
OPP-32,H01,Slider,80.0,2242,2.8,2.7,-0.385,1.523,0,2,StrikeSwinging,R,R,2026-08-28
OPP-32,H07,Changeup,82.5,1754,12.8,11.1,-0.577,2.644,0,0,FoulBall,L,R,2026-08-28
OPP-32,H07,Fastball,92.5,2212,13.8,11.0,-2.989,2.076,0,1,InPlay,L,R,2026-08-28
OPP-32,H04,Changeup,81.3,1819,7.0,7.5,-0.603,1.485,0,0,BallCalled,L,R,2026-08-28
OPP-32,H04,Fastball,90.4,2354,13.2,10.9,0.16,2.634,1,0,StrikeCalled,L,R,2026-08-28
OPP-32,H04,Fastball,89.6,2197,19.7,12.6,0.666,2.766,1,1,FoulBall,L,R,2026-08-28
OPP-32,H04,Changeup,82.2,1640,8.2,16.4,-0.373,0.347,1,2,BallCalled,L,R,2026-08-28
OPP-32,H04,Curveball,74.9,2381,-0.4,-9.1,-1.138,2.955,2,2,BallCalled,L,R,2026-08-28
OPP-32,H04,Fastball,89.4,2098,17.7,7.1,-0.294,1.871,3,2,InPlay,L,R,2026-08-28
OPP-32,H02,Fastball,89.3,2272,14.9,8.5,-1.59,3.2,0,0,BallCalled,R,R,2026-08-29
OPP-32,H02,Fastball,91.2,2304,16.9,12.4,-0.576,2.748,1,0,FoulBall,R,R,2026-08-29
OPP-32,H02,Slider,76.9,2419,5.1,-5.9,2.114,2.251,1,1,FoulBall,R,R,2026-08-29
OPP-32,H02,Fastball,91.0,2326,13.4,5.4,-0.715,2.786,1,2,InPlay,R,R,2026-08-29
OPP-32,H08,Changeup,80.6,1897,7.8,10.9,0.891,0.908,0,0,BallCalled,R,R,2026-08-29
OPP-32,H08,Changeup,85.4,1767,6.8,11.9,-0.979,0.523,1,0,BallCalled,R,R,2026-08-29
OPP-32,H08,Curveball,73.2,2486,-5.6,-7.3,1.064,3.052,2,0,BallCalled,R,R,2026-08-29
OPP-32,H08,Fastball,87.2,2300,16.1,6.5,-0.4,3.148,3,0,StrikeCalled,R,R,2026-08-29
OPP-32,H08,Fastball,90.8,2197,15.9,14.9,0.135,3.692,3,1,BallCalled,R,R,2026-08-29
OPP-32,H03,Fastball,89.8,2199,13.5,11.8,-1.056,3.36,0,0,BallCalled,R,R,2026-08-29
OPP-32,H03,Slider,79.3,2301,0.3,-6.0,0.374,2.381,1,0,StrikeSwinging,R,R,2026-08-29
OPP-32,H03,Fastball,90.9,2132,13.0,8.5,-1.002,1.904,1,1,BallCalled,R,R,2026-08-29
OPP-32,H03,Fastball,88.0,2162,17.2,14.4,-0.526,2.642,2,1,FoulBall,R,R,2026-08-29
OPP-32,H03,Changeup,84.7,1758,10.1,12.7,1.232,3.949,2,2,BallCalled,R,R,2026-08-29
OPP-32,H03,Changeup,81.7,1806,9.9,16.5,0.654,0.342,3,2,FoulBall,R,R,2026-08-29
OPP-32,H03,Slider,85.5,2434,4.8,-11.6,0.025,3.518,3,2,BallCalled,R,R,2026-08-29
OPP-32,H09,Fastball,88.9,2168,15.3,10.1,-1.4,1.249,0,0,BallCalled,L,R,2026-08-29
OPP-32,H09,Changeup,83.2,1540,8.0,16.9,0.958,1.996,1,0,BallCalled,L,R,2026-08-29
OPP-32,H09,Fastball,88.8,2132,14.8,15.9,-0.478,3.662,2,0,BallCalled,L,R,2026-08-29
OPP-32,H09,Slider,83.5,2461,2.1,-9.0,0.994,1.368,3,0,BallCalled,L,R,2026-08-29
OPP-32,H05,Slider,82.3,2475,1.3,-6.5,0.431,2.531,0,0,FoulBall,R,R,2026-08-29
OPP-32,H05,Slider,81.5,2592,5.3,-4.4,-0.657,3.37,0,1,StrikeCalled,R,R,2026-08-29
OPP-32,H05,Slider,79.7,2356,1.3,-3.6,0.509,2.009,0,2,StrikeSwinging,R,R,2026-08-29
OPP-32,H03,Curveball,75.8,2593,-0.4,-9.9,0.73,1.257,0,0,BallCalled,R,R,2026-08-29
OPP-32,H03,Fastball,87.6,2278,16.4,2.9,-0.538,2.249,1,0,StrikeCalled,R,R,2026-08-29
OPP-32,H03,Slider,78.7,2461,-0.5,-8.1,-0.296,1.64,1,1,InPlay,R,R,2026-08-29
OPP-32,H05,Fastball,89.7,2189,16.5,9.5,-0.287,1.621,0,0,InPlay,R,R,2026-08-29
OPP-32,H08,Fastball,89.6,2316,14.9,6.3,0.606,3.191,0,0,StrikeCalled,R,R,2026-08-29
OPP-32,H08,Slider,81.6,2344,-0.5,-7.5,-1.187,-0.687,0,1,InPlay,R,R,2026-08-29
OPP-32,H02,Fastball,93.4,2322,17.2,14.7,0.061,2.611,0,0,InPlay,R,R,2026-08-29
OPP-32,H02,Fastball,91.8,2327,14.9,8.8,0.343,2.204,0,0,FoulBall,R,R,2026-08-29
OPP-32,H02,Fastball,92.7,2108,11.5,7.0,-0.792,3.885,0,1,InPlay,R,R,2026-08-29
OPP-32,H07,Slider,80.5,2358,0.2,-7.9,0.669,2.014,0,0,StrikeCalled,R,R,2026-08-29
OPP-32,H07,Changeup,82.3,1830,11.3,12.5,-0.082,2.655,0,1,StrikeSwinging,R,R,2026-08-29
OPP-32,H07,Slider,79.7,2514,1.9,-7.8,2.326,0.248,0,2,BallCalled,R,R,2026-08-29
OPP-32,H07,Fastball,91.4,2397,17.3,14.6,-1.86,3.047,1,2,BallCalled,R,R,2026-08-29
OPP-32,H07,Changeup,80.8,1727,8.0,9.3,-2.076,-0.409,2,2,BallCalled,R,R,2026-08-29
OPP-32,H07,Changeup,81.5,1877,9.7,15.8,0.329,1.904,3,2,FoulBall,R,R,2026-08-29
OPP-32,H07,Changeup,81.1,1765,6.4,15.3,-0.053,2.135,3,2,StrikeSwinging,R,R,2026-08-29
OPP-32,H04,Slider,78.8,2497,-2.4,-9.1,0.452,1.291,0,0,FoulBall,L,R,2026-08-29
OPP-32,H04,Fastball,90.7,2175,16.2,12.5,0.738,4.236,0,1,BallCalled,L,R,2026-08-29
OPP-32,H04,Slider,79.2,2298,-0.4,-10.8,0.903,2.65,1,1,FoulBall,L,R,2026-08-29
OPP-32,H04,Fastball,89.7,2086,16.2,8.9,1.822,3.84,1,2,BallCalled,L,R,2026-08-29
OPP-32,H04,Slider,81.4,2443,3.4,-13.3,0.263,2.185,2,2,FoulBall,L,R,2026-08-29
OPP-32,H04,Changeup,84.1,1609,10.4,14.1,1.431,2.711,2,2,BallCalled,L,R,2026-08-29
OPP-32,H04,Changeup,83.5,1699,10.7,11.8,0.274,3.452,3,2,FoulBall,L,R,2026-08-29
OPP-32,H04,Changeup,82.8,1939,7.1,16.2,-0.323,3.835,3,2,BallCalled,L,R,2026-08-29
OPP-32,H01,Changeup,81.5,1678,9.6,10.9,-2.021,1.573,0,0,FoulBall,R,R,2026-08-29
OPP-32,H01,Changeup,82.1,1963,9.8,9.7,-1.681,2.7,0,1,StrikeSwinging,R,R,2026-08-29
OPP-32,H01,Slider,83.9,2363,6.3,-4.2,-0.632,2.51,0,2,StrikeCalled,R,R,2026-08-29
OPP-32,H03,Changeup,83.4,1403,6.4,17.3,1.088,1.474,0,0,BallCalled,L,R,2026-08-29
OPP-32,H03,Fastball,92.6,2075,14.8,8.2,-0.206,1.962,1,0,FoulBall,L,R,2026-08-29
OPP-32,H03,Slider,79.7,2468,4.2,-5.5,-0.147,1.674,1,1,FoulBall,L,R,2026-08-29
OPP-32,H03,Curveball,74.1,2250,-3.3,-9.7,-0.586,3.998,1,2,BallCalled,L,R,2026-08-29
OPP-32,H03,Fastball,92.4,2180,16.3,5.0,-1.8,3.073,2,2,BallCalled,L,R,2026-08-29
OPP-32,H03,Curveball,74.5,2217,-11.8,-13.6,-1.074,1.63,3,2,InPlay,L,R,2026-08-29
OPP-32,H08,Fastball,93.0,2380,12.3,6.1,0.557,2.832,0,0,StrikeCalled,R,R,2026-08-29
OPP-32,H08,Slider,81.4,2536,0.7,-4.2,-1.508,3.945,0,1,FoulBall,R,R,2026-08-29
OPP-32,H08,Changeup,82.2,1679,12.2,13.5,-1.548,-0.498,0,2,BallCalled,R,R,2026-08-29
OPP-32,H08,Slider,81.6,2252,-2.0,-3.5,-0.008,3.581,1,2,FoulBall,R,R,2026-08-29
OPP-32,H08,Changeup,81.5,1713,6.8,11.0,0.403,2.877,1,2,StrikeSwinging,R,R,2026-08-29
OPP-32,H05,Changeup,79.4,1720,6.5,9.9,-1.999,3.571,0,0,FoulBall,L,R,2026-08-29
OPP-32,H05,Changeup,81.2,1656,10.1,9.6,1.104,1.271,0,1,BallCalled,L,R,2026-08-29
OPP-32,H05,Fastball,89.8,2324,13.1,8.7,0.73,2.024,1,1,InPlay,L,R,2026-08-29
OPP-32,H02,Changeup,82.5,1482,11.2,12.4,0.294,3.02,0,0,FoulBall,L,R,2026-08-29
OPP-32,H02,Fastball,88.4,2355,17.7,9.0,-0.463,1.327,0,1,BallCalled,L,R,2026-08-29
OPP-32,H02,Fastball,87.8,2166,12.8,10.8,0.225,3.303,1,1,StrikeSwinging,L,R,2026-08-29
OPP-32,H02,Changeup,82.1,1553,10.2,10.6,-0.957,2.596,1,2,BallCalled,L,R,2026-08-29
OPP-32,H02,Slider,80.7,2293,1.2,-6.7,2.179,2.718,2,2,StrikeSwinging,L,R,2026-08-29
OPP-32,H04,Fastball,89.2,2148,15.6,14.6,-0.449,1.644,0,0,StrikeCalled,L,R,2026-08-29
OPP-32,H04,Changeup,80.9,1946,6.0,17.4,-0.591,1.249,0,1,BallCalled,L,R,2026-08-29
OPP-32,H04,Fastball,91.0,2168,12.3,8.2,-1.295,3.156,1,1,BallCalled,L,R,2026-08-29
OPP-32,H04,Fastball,93.0,2272,15.7,6.3,-0.845,2.468,2,1,BallCalled,L,R,2026-08-29
OPP-32,H04,Fastball,92.2,2120,13.0,7.7,-0.76,2.796,3,1,InPlay,L,R,2026-08-29
OPP-32,H02,Fastball,92.1,2066,16.7,8.9,1.126,2.771,0,0,BallCalled,R,R,2026-08-29
OPP-32,H02,Fastball,91.7,2117,15.9,14.3,-0.533,3.496,1,0,FoulBall,R,R,2026-08-29
OPP-32,H02,Fastball,88.3,2150,13.3,2.7,0.355,2.467,1,1,InPlay,R,R,2026-08-29
OPP-32,H05,Slider,80.7,2254,3.2,-4.1,1.072,2.184,0,0,StrikeSwinging,R,R,2026-08-29
OPP-32,H05,Curveball,74.3,2302,-4.6,-7.9,-0.604,4.948,0,1,BallCalled,R,R,2026-08-29
OPP-32,H05,Fastball,89.9,2325,15.6,9.5,0.739,1.811,1,1,InPlay,R,R,2026-08-29
OPP-32,H05,Changeup,82.3,1888,5.4,13.6,0.285,2.934,0,0,FoulBall,R,R,2026-08-29
OPP-32,H05,Curveball,79.0,2570,-2.9,-8.5,-1.732,3.437,0,1,BallCalled,R,R,2026-08-29
OPP-32,H05,Fastball,91.5,2260,13.3,13.1,0.757,2.365,1,1,InPlay,R,R,2026-08-29
OPP-32,H04,Fastball,89.3,2269,11.7,9.6,-0.263,2.226,0,0,InPlay,L,R,2026-08-29
OPP-32,H08,Curveball,73.4,2698,-6.2,-5.4,1.599,2.762,0,0,StrikeSwinging,L,R,2026-08-29
OPP-32,H08,Fastball,90.2,2131,15.8,7.1,0.433,3.229,0,1,StrikeCalled,L,R,2026-08-29
OPP-32,H08,Changeup,83.3,1747,7.4,13.1,0.666,0.589,0,2,BallCalled,L,R,2026-08-29
OPP-32,H08,Fastball,89.5,2236,18.2,6.8,1.452,2.745,1,2,FoulBall,L,R,2026-08-29
OPP-32,H08,Changeup,82.5,1658,10.6,16.6,-1.702,0.908,1,2,BallCalled,L,R,2026-08-29
OPP-32,H08,Curveball,75.0,2354,-7.1,-7.1,-0.548,2.382,2,2,InPlay,L,R,2026-08-29
OPP-32,H03,Curveball,73.9,2424,-0.5,-6.3,0.031,1.348,0,0,BallCalled,L,R,2026-08-29
OPP-32,H03,Changeup,82.8,1822,3.9,7.8,0.583,1.643,1,0,FoulBall,L,R,2026-08-29
OPP-32,H03,Changeup,80.4,1773,8.0,16.1,-2.123,1.712,1,1,BallCalled,L,R,2026-08-29
OPP-32,H03,Curveball,73.8,2546,-5.2,-11.9,-0.35,2.381,2,1,StrikeCalled,L,R,2026-08-29
OPP-32,H03,Fastball,88.9,2234,12.9,4.8,1.113,2.279,2,2,BallCalled,L,R,2026-08-29
OPP-32,H03,Slider,82.4,2493,6.3,-8.9,1.468,2.426,3,2,StrikeSwinging,L,R,2026-08-29
OPP-32,H08,Fastball,89.4,2138,16.3,6.8,-0.01,2.023,0,0,InPlay,R,R,2026-08-29
OPP-32,H07,Fastball,89.9,2223,12.3,12.7,-0.863,2.066,0,0,BallCalled,L,R,2026-08-29
OPP-32,H07,Curveball,75.0,2470,-7.7,-11.7,0.058,0.965,1,0,InPlay,L,R,2026-08-29
OPP-32,H09,Fastball,87.3,2301,16.7,6.3,-1.709,3.152,0,0,BallCalled,R,R,2026-08-29
OPP-32,H09,Curveball,76.2,2396,-8.1,-5.7,0.887,2.722,1,0,BallCalled,R,R,2026-08-29
OPP-32,H09,Fastball,91.0,2424,15.8,6.8,0.621,2.361,2,0,StrikeCalled,R,R,2026-08-29
OPP-32,H09,Slider,79.9,2359,2.6,-7.9,0.516,2.214,2,1,StrikeSwinging,R,R,2026-08-29
OPP-32,H09,Slider,79.2,2370,-0.2,-7.5,0.784,1.069,2,2,FoulBall,R,R,2026-08-29
OPP-32,H09,Curveball,74.8,2219,-0.7,-9.7,-0.142,5.526,2,2,FoulBall,R,R,2026-08-29
OPP-32,H09,Fastball,92.2,2268,17.1,10.7,0.553,1.429,2,2,StrikeSwinging,R,R,2026-08-29
OPP-32,H03,Fastball,88.7,2335,13.8,13.0,0.045,2.467,0,0,InPlay,L,R,2026-08-30
OPP-32,H01,Changeup,80.5,1919,7.1,8.5,0.243,1.777,0,0,StrikeCalled,L,R,2026-08-30
OPP-32,H01,Changeup,82.4,1766,12.2,10.4,0.799,-0.299,0,1,InPlay,L,R,2026-08-30
OPP-32,H02,Changeup,83.2,1492,13.4,10.8,0.2,1.867,0,0,StrikeCalled,L,R,2026-08-30
OPP-32,H02,Curveball,74.8,2333,-8.3,-11.3,-1.262,2.733,0,1,InPlay,L,R,2026-08-30
OPP-32,H05,Slider,79.4,2534,-0.4,-7.0,0.977,1.729,0,0,FoulBall,R,R,2026-08-30
OPP-32,H05,Fastball,90.8,2266,16.8,8.8,-0.287,2.872,0,1,StrikeCalled,R,R,2026-08-30
OPP-32,H05,Changeup,83.7,1849,11.5,10.4,1.244,1.536,0,2,BallCalled,R,R,2026-08-30
OPP-32,H05,Slider,80.7,2440,2.2,-5.7,-0.51,2.921,1,2,StrikeSwinging,R,R,2026-08-30
OPP-32,H02,Curveball,74.4,2412,-4.4,-7.5,-0.828,2.131,0,0,InPlay,L,R,2026-08-30
OPP-32,H05,Changeup,81.9,1829,13.0,10.9,-0.8,2.067,0,0,StrikeCalled,R,R,2026-08-30
OPP-32,H05,Slider,81.7,2401,2.9,-4.8,-1.505,1.451,0,1,BallCalled,R,R,2026-08-30
OPP-32,H05,Fastball,89.2,2148,11.8,5.0,0.263,3.416,1,1,StrikeCalled,R,R,2026-08-30
OPP-32,H05,Fastball,89.1,2163,16.1,11.9,-0.42,2.353,1,2,FoulBall,R,R,2026-08-30
OPP-32,H05,Fastball,90.4,2255,13.9,2.1,-0.098,1.568,1,2,InPlay,R,R,2026-08-30
OPP-32,H08,Slider,78.4,2429,3.2,-6.8,1.502,3.122,0,0,BallCalled,L,R,2026-08-30
OPP-32,H08,Changeup,81.5,1670,5.8,12.0,-0.09,1.668,1,0,FoulBall,L,R,2026-08-30
OPP-32,H08,Curveball,74.6,2160,-9.4,-8.9,-0.081,4.034,1,1,BallCalled,L,R,2026-08-30
OPP-32,H08,Fastball,91.3,2271,14.6,11.7,-0.57,2.322,2,1,StrikeCalled,L,R,2026-08-30
OPP-32,H08,Changeup,79.4,1722,4.9,11.5,0.678,1.006,2,2,FoulBall,L,R,2026-08-30
OPP-32,H08,Slider,83.5,2466,3.0,-7.9,0.077,4.144,2,2,StrikeSwinging,L,R,2026-08-30
OPP-32,H07,Fastball,92.6,2105,16.2,9.2,0.34,2.527,0,0,InPlay,L,R,2026-08-30
OPP-32,H04,Fastball,91.1,2281,11.7,5.6,-0.827,2.478,0,0,StrikeCalled,R,R,2026-08-30
OPP-32,H04,Fastball,90.0,2179,13.5,10.6,-0.518,2.974,0,1,FoulBall,R,R,2026-08-30
OPP-32,H04,Slider,82.9,2364,-0.3,-7.2,2.343,1.561,0,2,BallCalled,R,R,2026-08-30
