pitcher,batter,pitch_type,velocity,spin,ivb,hb,plate_x,plate_z,count_balls,count_strikes,result,batter_side,pitcher_hand,date
OPP-11,H06,Fastball,91.8,2229,11.4,7.1,0.121,2.429,1,0,StrikeCalled,R,R,2026-09-04
OPP-11,H06,Fastball,91.1,2191,16.3,5.9,0.184,1.081,1,1,BallCalled,R,R,2026-09-04
OPP-11,H06,Fastball,89.9,2056,18.6,2.4,0.396,2.948,2,1,InPlay,R,R,2026-09-04
OPP-11,H08,Fastball,91.6,2397,8.0,9.6,0.982,2.632,0,0,BallCalled,R,R,2026-09-04
OPP-11,H08,Fastball,91.6,2057,16.3,9.9,-0.505,2.415,1,0,StrikeCalled,R,R,2026-09-04
OPP-11,H08,Fastball,90.4,2306,16.7,9.5,-0.718,2.232,1,1,InPlay,R,R,2026-09-04
OPP-11,H06,Slider,81.6,2355,3.5,-7.3,0.879,1.407,0,0,BallCalled,R,R,2026-09-04
OPP-11,H06,Fastball,88.9,2311,15.8,5.4,-0.667,2.916,1,0,StrikeCalled,R,R,2026-09-04
OPP-11,H06,Slider,82.0,2416,0.0,-5.8,-0.722,2.356,1,1,StrikeCalled,R,R,2026-09-04
OPP-11,H06,Fastball,92.2,2071,13.4,7.7,1.453,3.109,1,2,BallCalled,R,R,2026-09-04
OPP-11,H06,Fastball,89.0,2381,15.8,6.9,-0.421,1.365,2,2,BallCalled,R,R,2026-09-04
OPP-11,H06,Slider,80.2,2483,4.9,-0.4,1.692,0.852,3,2,FoulBall,R,R,2026-09-04
OPP-11,H06,Slider,81.5,2313,4.3,-2.5,-0.924,2.773,3,2,FoulBall,R,R,2026-09-04
OPP-11,H06,Slider,80.5,2129,2.8,-8.1,1.497,0.137,3,2,StrikeSwinging,R,R,2026-09-04
OPP-11,H04,Slider,81.0,2180,-3.2,-7.9,-0.19,2.157,0,0,StrikeCalled,R,R,2026-09-04
OPP-11,H04,Curveball,75.2,2506,-3.5,-8.8,-0.199,0.6,0,1,BallCalled,R,R,2026-09-04
OPP-11,H04,Fastball,90.8,2271,15.2,9.1,0.632,2.078,1,1,FoulBall,R,R,2026-09-04
OPP-11,H04,Fastball,88.3,2165,17.5,9.9,0.48,2.356,1,2,InPlay,R,R,2026-09-04
OPP-11,H02,Fastball,89.3,2235,16.0,5.8,-0.111,2.49,0,0,StrikeSwinging,R,R,2026-09-04
OPP-11,H02,Fastball,91.0,2306,16.5,13.2,0.623,3.292,0,1,FoulBall,R,R,2026-09-04
OPP-11,H02,Changeup,83.5,1616,8.6,10.4,-0.226,3.216,0,2,FoulBall,R,R,2026-09-04
OPP-11,H02,Changeup,83.8,1922,10.7,11.9,1.564,0.169,0,2,FoulBall,R,R,2026-09-04
OPP-11,H02,Slider,81.1,2214,-3.2,-6.0,1.127,1.732,0,2,StrikeSwinging,R,R,2026-09-04
OPP-11,H09,Curveball,74.4,2666,-5.8,-5.7,0.306,1.856,0,0,FoulBall,R,R,2026-09-04
OPP-11,H09,Slider,81.3,2219,0.2,-5.5,-0.93,2.131,0,1,BallCalled,R,R,2026-09-04
OPP-11,H09,Changeup,80.2,1665,10.9,12.9,-0.392,1.68,1,1,FoulBall,R,R,2026-09-04
OPP-11,H09,Fastball,90.1,2337,12.9,7.7,0.321,2.63,1,2,InPlay,R,R,2026-09-04
OPP-11,H05,Fastball,89.1,2169,14.2,14.0,1.658,3.786,0,0,BallCalled,L,R,2026-09-04
OPP-11,H05,Fastball,89.7,2168,16.1,11.0,-1.002,2.562,1,0,BallCalled,L,R,2026-09-04
OPP-11,H05,Slider,83.7,2601,5.3,-6.2,0.344,1.748,2,0,StrikeSwinging,L,R,2026-09-04
OPP-11,H05,Changeup,82.8,1571,7.1,16.2,0.395,2.343,2,1,StrikeCalled,L,R,2026-09-04
OPP-11,H05,Slider,76.0,2206,-0.7,-6.6,-0.161,2.371,2,2,FoulBall,L,R,2026-09-04
OPP-11,H05,Curveball,75.9,2457,-1.2,-14.8,1.575,5.176,2,2,InPlay,L,R,2026-09-04
OPP-11,H03,Fastball,90.1,2305,14.9,7.7,0.919,2.31,0,0,BallCalled,R,R,2026-09-04
