pitcher,batter,pitch_type,spin,ivb,hb,count_balls,count_strikes,result,batter_side,pitcher_hand,date
OPP-11,H02,Changeup,1922,10.7,11.9,0,2,FoulBall,R,R,2026-09-04
OPP-11,H02,Slider,2214,-3.2,-6.0,0,2,StrikeSwinging,R,R,2026-09-04
OPP-11,H09,Curveball,2666,-5.8,-5.7,0,0,FoulBall,R,R,2026-09-04
OPP-11,H09,Slider,2219,0.2,-5.5,0,1,BallCalled,R,R,2026-09-04
OPP-11,H09,Changeup,1665,10.9,12.9,1,1,FoulBall,R,R,2026-09-04
OPP-11,H09,Fastball,2337,12.9,7.7,1,2,InPlay,R,R,2026-09-04
OPP-11,H05,Fastball,2169,14.2,14.0,0,0,BallCalled,L,R,2026-09-04
OPP-11,H05,Fastball,2168,16.1,11.0,1,0,BallCalled,L,R,2026-09-04
OPP-11,H05,Slider,2601,5.3,-6.2,2,0,StrikeSwinging,L,R,2026-09-04
OPP-11,H05,Changeup,1571,7.1,16.2,2,1,StrikeCalled,L,R,2026-09-04
OPP-11,H05,Slider,2206,-0.7,-6.6,2,2,FoulBall,L,R,2026-09-04
OPP-11,H05,Curveball,2457,-1.2,-14.8,2,2,InPlay,L,R,2026-09-04
OPP-11,H03,Fastball,2305,14.9,7.7,0,0,BallCalled,R,R,2026-09-04
OPP-11,H03,Fastball,2248,15.3,11.6,1,0,FoulBall,R,R,2026-09-04
OPP-11,H03,Changeup,1801,8.1,14.2,1,1,StrikeSwinging,R,R,2026-09-04
OPP-11,H03,Fastball,2078,14.7,10.7,1,2,StrikeSwinging,R,R,2026-09-04
OPP-11,H04,Changeup,1829,5.7,12.2,0,0,FoulBall,R,R,2026-09-04
OPP-11,H04,Changeup,1814,6.3,18.3,0,1,StrikeCalled,R,R,2026-09-04
OPP-11,H04,Slider,2655,-1.2,-1.0,0,2,BallCalled,R,R,2026-09-04
OPP-11,H04,Slider,2158,0.5,-1.5,1,2,StrikeSwinging,R,R,2026-09-04
OPP-11,H05,Fastball,2089,14.0,9.3,0,0,StrikeSwinging,R,R,2026-09-04
OPP-11,H05,Slider,2510,6.2,-8.5,0,1,BallCalled,R,R,2026-09-04
OPP-11,H05,Fastball,2263,17.1,13.8,1,1,BallCalled,R,R,2026-09-04
OPP-11,H05,Fastball,2315,9.9,9.1,2,1,FoulBall,R,R,2026-09-04
OPP-11,H05,Slider,2483,3.1,-4.8,2,2,StrikeSwinging,R,R,2026-09-04
OPP-11,H05,Fastball,2153,17.3,6.1,0,0,StrikeSwinging,R,R,2026-09-04
OPP-11,H05,Changeup,1772,7.8,10.9,0,1,StrikeSwinging,R,R,2026-09-04
OPP-11,H05,Fastball,2250,15.5,7.8,0,2,BallCalled,R,R,2026-09-04
OPP-11,H05,Fastball,2465,13.3,8.8,1,2,BallCalled,R,R,2026-09-04
OPP-11,H05,Changeup,1644,9.4,18.1,2,2,StrikeSwinging,R,R,2026-09-04
OPP-11,H08,Curveball,2425,-2.0,-2.8,0,0,BallCalled,R,R,2026-09-04
OPP-11,H08,Curveball,2726,-10.2,-10.1,1,0,StrikeSwinging,R,R,2026-09-04
OPP-11,H08,Slider,2224,4.2,-0.3,1,1,BallCalled,R,R,2026-09-04
OPP-11,H08,Fastball,2290,15.8,8.5,2,1,StrikeSwinging,R,R,2026-09-04
OPP-11,H08,Changeup,1589,8.9,12.8,2,2,BallCalled,R,R,2026-09-04
OPP-11,H08,Fastball,2142,14.7,9.5,3,2,BallCalled,R,R,2026-09-04
OPP-11,H07,Changeup,1785,9.8,10.9,0,0,InPlay,R,R,2026-09-04
OPP-11,H02,Fastball,2172,16.0,11.5,0,0,StrikeCalled,L,R,2026-09-04
OPP-11,H02,Slider,2500,2.1,-6.7,0,1,StrikeSwinging,L,R,2026-09-04
OPP-11,H02,Slider,2215,-0.5,-3.2,0,2,StrikeSwinging,L,R,2026-09-04
OPP-11,H07,Fastball,2280,16.9,7.9,0,0,BallCalled,R,R,2026-09-04
OPP-11,H07,Slider,2263,3.1,-7.5,1,0,StrikeSwinging,R,R,2026-09-04
OPP-11,H07,Fastball,2249,16.2,7.3,1,1,StrikeCalled,R,R,2026-09-04
OPP-11,H07,Fastball,2216,14.7,9.2,1,2,FoulBall,R,R,2026-09-04
OPP-11,H07,Curveball,2764,-8.3,-6.5,1,2,StrikeSwinging,R,R,2026-09-04
OPP-11,H07,Fastball,2083,17.3,6.6,0,0,FoulBall,R,R,2026-09-04
OPP-11,H07,Fastball,2210,15.8,6.7,0,1,FoulBall,R,R,2026-09-04
OPP-11,H07,Slider,2341,2.9,-1.8,0,2,BallCalled,R,R,2026-09-04
OPP-11,H07,Curveball,2507,-5.3,-8.5,1,2,BallCalled,R,R,2026-09-04
OPP-11,H07,Slider,2216,0.7,-8.7,2,2,FoulBall,R,R,2026-09-04
OPP-11,H07,Changeup,1719,12.8,7.9,2,2,BallCalled,R,R,2026-09-04
OPP-11,H07,Changeup,1676,9.8,10.7,3,2,StrikeSwinging,R,R,2026-09-04
OPP-11,H09,Curveball,2579,-6.8,-11.5,0,0,StrikeCalled,L,R,2026-09-04
OPP-11,H09,Fastball,2266,16.9,8.5,0,1,BallCalled,L,R,2026-09-04
OPP-11,H09,Slider,2262,3.7,-1.9,1,1,StrikeCalled,L,R,2026-09-04
OPP-11,H09,Changeup,1841,9.1,11.9,1,2,InPlay,L,R,2026-09-04
OPP-11,H09,Changeup,2167,8.7,13.0,0,0,BallCalled,R,R,2026-09-04
OPP-11,H09,Fastball,2145,12.6,4.6,1,0,BallCalled,R,R,2026-09-04
OPP-11,H09,Fastball,2329,16.4,10.7,2,0,StrikeCalled,R,R,2026-09-04
OPP-11,H09,Fastball,2460,15.9,12.8,2,1,HitByPitch,R,R,2026-09-04
OPP-11,H04,Fastball,2338,14.3,12.0,0,0,BallCalled,R,R,2026-09-05
OPP-11,H04,Changeup,1735,9.1,13.7,1,0,BallCalled,R,R,2026-09-05
OPP-11,H04,Fastball,2368,14.9,9.1,2,0,FoulBall,R,R,2026-09-05
OPP-11,H04,Changeup,1836,12.3,7.1,2,1,StrikeCalled,R,R,2026-09-05
OPP-11,H04,Curveball,2605,-2.8,-12.1,2,2,StrikeSwinging,R,R,2026-09-05
OPP-11,H03,Slider,2675,1.7,-9.1,0,0,BallCalled,R,R,2026-09-05
OPP-11,H03,Fastball,2156,15.6,8.3,1,0,BallCalled,R,R,2026-09-05
OPP-11,H03,Fastball,2343,17.5,6.0,2,0,StrikeCalled,R,R,2026-09-05
OPP-11,H03,Slider,2412,1.4,-5.3,2,1,StrikeCalled,R,R,2026-09-05
OPP-11,H03,Curveball,2538,-5.5,-1.0,2,2,BallCalled,R,R,2026-09-05
OPP-11,H03,Slider,2255,-0.2,-2.7,3,2,BallCalled,R,R,2026-09-05
OPP-11,H02,Slider,2246,2.4,-4.4,0,0,BallCalled,L,R,2026-09-05
OPP-11,H02,Fastball,2361,15.6,9.9,1,0,FoulBall,L,R,2026-09-05
OPP-11,H02,Changeup,1725,6.4,8.7,1,1,BallCalled,L,R,2026-09-05
OPP-11,H02,Changeup,1646,11.6,11.7,2,1,FoulBall,L,R,2026-09-05
OPP-11,H02,Fastball,2348,12.3,7.8,2,2,BallCalled,L,R,2026-09-05
OPP-11,H02,Slider,2241,1.6,-5.3,3,2,BallCalled,L,R,2026-09-05
OPP-11,H03,Fastball,2244,15.2,8.5,0,0,BallCalled,R,R,2026-09-05
OPP-11,H03,Fastball,2067,14.2,5.4,1,0,StrikeCalled,R,R,2026-09-05
OPP-11,H03,Slider,2241,4.0,-7.1,1,1,StrikeSwinging,R,R,2026-09-05
OPP-11,H03,Slider,2520,0.3,-0.0,1,2,BallCalled,R,R,2026-09-05
OPP-11,H03,Slider,2266,5.2,-5.2,2,2,StrikeCalled,R,R,2026-09-05
OPP-11,H05,Slider,2246,0.6,-6.4,0,0,BallCalled,R,R,2026-09-05
OPP-11,H05,Changeup,1932,11.6,9.3,1,0,StrikeSwinging,R,R,2026-09-05
OPP-11,H05,Fastball,2181,11.9,7.8,1,1,FoulBall,R,R,2026-09-05
OPP-11,H05,Fastball,2215,13.0,10.6,1,2,BallCalled,R,R,2026-09-05
OPP-11,H05,Slider,2307,3.6,-0.4,2,2,BallCalled,R,R,2026-09-05
OPP-11,H05,Fastball,2355,14.9,8.6,3,2,BallCalled,R,R,2026-09-05
OPP-11,H06,Slider,2410,2.4,-5.3,0,0,BallCalled,R,R,2026-09-05
OPP-11,H06,Changeup,1556,8.2,11.9,1,0,InPlay,R,R,2026-09-05
OPP-11,H05,Fastball,2283,13.6,8.3,0,0,StrikeSwinging,R,R,2026-09-05
OPP-11,H05,Fastball,2105,15.1,9.4,0,1,BallCalled,R,R,2026-09-05
OPP-11,H05,Fastball,2380,13.3,9.0,1,1,InPlay,R,R,2026-09-05
OPP-11,H09,Fastball,2153,16.8,3.7,0,0,BallCalled,R,R,2026-09-05
OPP-11,H09,Fastball,2174,13.0,14.6,1,0,FoulBall,R,R,2026-09-05
OPP-11,H09,Fastball,2257,11.0,8.6,1,1,StrikeCalled,R,R,2026-09-05
OPP-11,H09,Fastball,2169,14.8,9.8,1,2,StrikeCalled,R,R,2026-09-05
OPP-11,H05,Fastball,2326,12.6,13.5,0,0,BallCalled,R,R,2026-09-05
OPP-11,H05,Fastball,2266,17.0,7.8,1,0,StrikeCalled,R,R,2026-09-05
OPP-11,H05,Changeup,1783,6.7,14.2,1,1,StrikeCalled,R,R,2026-09-05
OPP-11,H05,Curveball,2577,-5.3,-11.7,1,2,InPlay,R,R,2026-09-05
OPP-11,H08,Fastball,2247,14.1,10.4,0,0,StrikeCalled,R,R,2026-09-05
OPP-11,H08,Slider,2228,1.9,-4.9,0,1,FoulBall,R,R,2026-09-05
OPP-11,H08,Changeup,1895,6.7,12.1,0,2,InPlay,R,R,2026-09-05
OPP-11,H02,Fastball,2332,15.9,15.6,0,0,FoulBall,L,R,2026-09-05
OPP-11,H02,Slider,2484,-0.5,-2.0,0,1,BallCalled,L,R,2026-09-05
OPP-11,H02,Slider,2281,2.5,-5.2,1,1,InPlay,L,R,2026-09-05
OPP-11,H02,Slider,2555,-0.5,-6.1,0,0,BallCalled,L,R,2026-09-05
OPP-11,H02,Fastball,2187,14.8,6.2,1,0,StrikeCalled,L,R,2026-09-05
OPP-11,H02,Changeup,2068,6.0,18.1,1,1,InPlay,L,R,2026-09-05
OPP-11,H08,Fastball,2369,12.8,7.0,0,0,InPlay,R,R,2026-09-05
OPP-11,H02,Fastball,2310,15.7,6.1,0,0,FoulBall,R,R,2026-09-05
OPP-11,H02,Fastball,2316,15.6,9.8,0,1,BallCalled,R,R,2026-09-05
OPP-11,H02,Slider,2573,1.0,-6.7,1,1,BallCalled,R,R,2026-09-05
OPP-11,H02,Fastball,2315,15.6,13.4,2,1,HitByPitch,R,R,2026-09-05
OPP-11,H03,Changeup,1555,8.2,15.2,0,0,BallCalled,L,R,2026-09-05
OPP-11,H03,Changeup,1650,7.7,10.2,1,0,StrikeCalled,L,R,2026-09-05
OPP-11,H03,Fastball,2034,17.4,8.2,1,1,BallCalled,L,R,2026-09-05
OPP-11,H03,Fastball,2327,14.6,4.5,2,1,StrikeCalled,L,R,2026-09-05
OPP-11,H03,Changeup,1892,8.3,14.1,2,2,InPlay,L,R,2026-09-05
OPP-11,H03,Slider,2293,2.2,-8.9,0,0,StrikeSwinging,L,R,2026-09-05
OPP-11,H03,Curveball,2565,-6.8,-8.5,0,1,StrikeCalled,L,R,2026-09-05
OPP-11,H03,Fastball,2198,11.5,6.9,0,2,BallCalled,L,R,2026-09-05
OPP-11,H03,Changeup,1976,5.5,13.3,1,2,BallCalled,L,R,2026-09-05
OPP-11,H03,Fastball,2243,15.0,11.2,2,2,BallCalled,L,R,2026-09-05
OPP-11,H03,Fastball,2171,11.2,4.2,3,2,StrikeSwinging,L,R,2026-09-05
OPP-11,H04,Slider,2214,3.5,-8.0,0,0,InPlay,L,R,2026-09-05
OPP-11,H02,Fastball,2147,16.1,14.5,0,0,StrikeCalled,R,R,2026-09-05
OPP-11,H02,Fastball,2442,12.6,13.7,0,1,FoulBall,R,R,2026-09-05
OPP-11,H02,Fastball,2225,14.4,8.1,0,2,BallCalled,R,R,2026-09-05
OPP-11,H02,Changeup,1814,5.4,12.3,1,2,StrikeSwinging,R,R,2026-09-05
OPP-11,H01,Slider,2475,3.9,-7.0,0,0,InPlay,L,R,2026-09-05
OPP-11,H07,Slider,2308,2.8,-3.4,0,0,BallCalled,R,R,2026-09-05
OPP-11,H07,Slider,2304,1.0,-6.1,1,0,StrikeCalled,R,R,2026-09-05
OPP-11,H07,Fastball,2237,11.7,6.3,1,1,StrikeCalled,R,R,2026-09-05
OPP-11,H07,Fastball,2167,15.4,8.0,1,2,FoulBall,R,R,2026-09-05
OPP-11,H07,Slider,2081,0.1,-5.4,1,2,StrikeSwinging,R,R,2026-09-05
OPP-11,H09,Curveball,2452,-4.0,-7.3,0,0,BallCalled,L,R,2026-09-05
OPP-11,H09,Fastball,2455,14.7,11.1,1,0,StrikeCalled,L,R,2026-09-05
OPP-11,H09,Fastball,2139,16.7,13.1,1,1,StrikeCalled,L,R,2026-09-05
OPP-11,H09,Fastball,2171,16.2,2.8,1,2,InPlay,L,R,2026-09-05
OPP-11,H04,Fastball,2221,13.2,8.8,0,0,BallCalled,R,R,2026-09-05
OPP-11,H04,Fastball,2213,12.7,14.3,1,0,BallCalled,R,R,2026-09-05
OPP-11,H04,Fastball,2335,14.3,7.9,2,0,FoulBall,R,R,2026-09-05
OPP-11,H04,Slider,2314,4.1,-9.4,2,1,StrikeCalled,R,R,2026-09-05
OPP-11,H04,Slider,2187,1.6,-3.7,2,2,BallCalled,R,R,2026-09-05
OPP-11,H04,Fastball,2428,16.6,10.1,3,2,InPlay,R,R,2026-09-05
OPP-11,H07,Slider,2556,5.2,-8.7,0,0,StrikeSwinging,L,R,2026-09-05
OPP-11,H07,Slider,2475,1.5,-10.8,0,1,FoulBall,L,R,2026-09-05
OPP-11,H07,Slider,2063,2.9,-3.4,0,2,FoulBall,L,R,2026-09-05
OPP-11,H07,Changeup,1695,11.7,12.0,0,2,InPlay,L,R,2026-09-05
OPP-11,H01,Fastball,2230,11.1,13.0,0,0,HitByPitch,L,R,2026-09-05
OPP-11,H07,Fastball,2315,13.7,10.8,0,0,FoulBall,R,R,2026-09-05
OPP-11,H07,Slider,2200,1.2,-3.5,0,1,StrikeCalled,R,R,2026-09-05
OPP-11,H07,Slider,2380,2.8,-3.0,0,2,BallCalled,R,R,2026-09-05
OPP-11,H07,Fastball,2330,14.2,16.8,1,2,InPlay,R,R,2026-09-05
OPP-11,H06,Fastball,2190,13.8,10.1,0,0,BallCalled,L,R,2026-09-05
OPP-11,H06,Slider,2580,6.9,-5.8,1,0,BallCalled,L,R,2026-09-05
OPP-11,H06,Fastball,2151,13.3,14.1,2,0,FoulBall,L,R,2026-09-05
OPP-11,H06,Fastball,2220,15.6,9.4,2,1,StrikeCalled,L,R,2026-09-05
OPP-11,H06,Slider,2456,5.9,-10.9,2,2,StrikeSwinging,L,R,2026-09-05
OPP-11,H03,Fastball,2076,19.0,8.7,0,0,StrikeSwinging,R,R,2026-09-06
OPP-11,H03,Slider,2367,0.2,-3.3,0,1,StrikeSwinging,R,R,2026-09-06
OPP-11,H03,Changeup,1786,15.3,17.8,0,2,BallCalled,R,R,2026-09-06
OPP-11,H03,Fastball,2097,14.2,10.4,1,2,FoulBall,R,R,2026-09-06
OPP-11,H03,Slider,2465,7.4,-9.5,1,2,BallCalled,R,R,2026-09-06
OPP-11,H03,Changeup,1821,6.6,8.1,2,2,StrikeCalled,R,R,2026-09-06
OPP-11,H03,Changeup,1689,10.4,15.5,0,0,BallCalled,R,R,2026-09-06
OPP-11,H03,Fastball,2292,11.1,16.6,1,0,StrikeCalled,R,R,2026-09-06
OPP-11,H03,Fastball,2067,17.0,11.6,1,1,BallCalled,R,R,2026-09-06
OPP-11,H03,Fastball,2165,12.5,8.0,2,1,StrikeCalled,R,R,2026-09-06
OPP-11,H03,Slider,2613,7.4,-8.1,2,2,BallCalled,R,R,2026-09-06
OPP-11,H03,Slider,2579,-1.5,-7.6,3,2,InPlay,R,R,2026-09-06
OPP-11,H04,Fastball,2137,15.1,10.0,0,0,StrikeSwinging,L,R,2026-09-06
OPP-11,H04,Fastball,2240,10.3,3.7,0,1,StrikeCalled,L,R,2026-09-06
OPP-11,H04,Changeup,1652,12.1,6.9,0,2,BallCalled,L,R,2026-09-06
OPP-11,H04,Slider,2705,-0.7,-6.6,1,2,BallCalled,L,R,2026-09-06
OPP-11,H04,Slider,2399,4.2,-10.2,2,2,BallCalled,L,R,2026-09-06
OPP-11,H04,Slider,2288,4.6,-9.9,3,2,BallCalled,L,R,2026-09-06
OPP-11,H06,Fastball,2344,14.1,7.1,0,0,BallCalled,R,R,2026-09-06
OPP-11,H06,Fastball,2262,14.9,6.6,1,0,StrikeCalled,R,R,2026-09-06
OPP-11,H06,Fastball,2193,17.0,12.7,1,1,InPlay,R,R,2026-09-06
OPP-11,H07,Curveball,2433,-4.1,-12.9,0,0,BallCalled,L,R,2026-09-06
OPP-11,H07,Fastball,2518,17.4,10.5,1,0,InPlay,L,R,2026-09-06
OPP-11,H06,Fastball,2227,12.8,10.2,0,0,FoulBall,R,R,2026-09-06
OPP-11,H06,Fastball,2435,15.4,12.7,0,1,FoulBall,R,R,2026-09-06
OPP-11,H06,Slider,2366,-0.5,-10.0,0,2,BallCalled,R,R,2026-09-06
OPP-11,H06,Curveball,2547,-1.4,-7.7,1,2,FoulBall,R,R,2026-09-06
OPP-11,H06,Slider,2498,-4.4,-6.2,1,2,FoulBall,R,R,2026-09-06
OPP-11,H06,Changeup,1780,10.3,7.4,1,2,BallCalled,R,R,2026-09-06
OPP-11,H06,Fastball,2193,12.9,9.5,2,2,BallCalled,R,R,2026-09-06
OPP-11,H06,Slider,2475,2.7,-0.5,3,2,InPlay,R,R,2026-09-06
OPP-11,H07,Fastball,2139,13.0,8.7,0,0,StrikeSwinging,L,R,2026-09-06
OPP-11,H07,Fastball,2274,13.4,7.8,0,1,StrikeCalled,L,R,2026-09-06
OPP-11,H07,Fastball,2133,18.0,5.0,0,2,BallCalled,L,R,2026-09-06
OPP-11,H07,Changeup,1729,12.6,11.4,1,2,BallCalled,L,R,2026-09-06
OPP-11,H07,Changeup,1837,7.0,14.4,2,2,BallCalled,L,R,2026-09-06
OPP-11,H07,Fastball,2289,12.6,9.7,3,2,StrikeSwinging,L,R,2026-09-06
OPP-11,H08,Fastball,2277,14.9,6.8,0,0,BallCalled,L,R,2026-09-06
OPP-11,H08,Fastball,2266,15.5,13.8,1,0,StrikeCalled,L,R,2026-09-06
OPP-11,H08,Changeup,1530,9.4,10.8,1,1,InPlay,L,R,2026-09-06
OPP-11,H06,Slider,2484,3.2,-7.4,0,0,FoulBall,R,R,2026-09-06
OPP-11,H06,Curveball,2580,-3.7,-10.7,0,1,StrikeSwinging,R,R,2026-09-06
OPP-11,H06,Fastball,2268,16.5,13.1,0,2,StrikeCalled,R,R,2026-09-06
OPP-11,H07,Slider,2410,1.4,-6.9,0,0,BallCalled,R,R,2026-09-06
OPP-11,H07,Slider,2122,4.5,-6.4,1,0,StrikeSwinging,R,R,2026-09-06
OPP-11,H07,Fastball,2107,13.2,5.4,1,1,BallCalled,R,R,2026-09-06
OPP-11,H07,Fastball,2056,15.4,14.2,2,1,StrikeCalled,R,R,2026-09-06
OPP-11,H07,Slider,2461,4.0,-3.6,2,2,StrikeSwinging,R,R,2026-09-06
OPP-11,H04,Fastball,2285,16.2,9.4,0,0,FoulBall,R,R,2026-09-06
OPP-11,H04,Fastball,2241,15.2,8.7,0,1,StrikeCalled,R,R,2026-09-06
OPP-11,H04,Slider,1995,3.3,-7.4,0,2,StrikeSwinging,R,R,2026-09-06
OPP-11,H06,Fastball,2239,14.4,5.3,0,0,StrikeSwinging,L,R,2026-09-06
OPP-11,H06,Fastball,2348,13.6,16.4,0,1,BallCalled,L,R,2026-09-06
OPP-11,H06,Fastball,2296,18.9,11.6,1,1,InPlay,L,R,2026-09-06
OPP-11,H09,Fastball,2418,12.4,5.9,0,0,StrikeCalled,L,R,2026-09-06
OPP-11,H09,Changeup,1680,9.5,13.3,0,1,BallCalled,L,R,2026-09-06
OPP-11,H09,Fastball,2315,14.6,8.5,1,1,BallCalled,L,R,2026-09-06
OPP-11,H09,Fastball,2309,17.2,8.8,2,1,StrikeCalled,L,R,2026-09-06
OPP-11,H09,Slider,2468,1.4,-9.8,2,2,InPlay,L,R,2026-09-06
OPP-11,H05,Fastball,2212,15.8,8.6,0,0,StrikeCalled,L,R,2026-09-06
OPP-11,H05,Fastball,1886,14.1,12.7,0,1,BallCalled,L,R,2026-09-06
OPP-11,H05,Fastball,2296,15.3,8.3,1,1,StrikeCalled,L,R,2026-09-06
OPP-11,H05,Fastball,2141,15.0,6.9,1,2,StrikeSwinging,L,R,2026-09-06
OPP-11,H05,Slider,2349,-2.3,-2.3,0,0,BallCalled,R,R,2026-09-06
OPP-11,H05,Fastball,2230,17.0,9.5,1,0,StrikeCalled,R,R,2026-09-06
OPP-11,H05,Fastball,2350,15.7,9.1,1,1,StrikeCalled,R,R,2026-09-06
OPP-11,H05,Fastball,2108,13.8,13.0,1,2,BallCalled,R,R,2026-09-06
OPP-11,H05,Fastball,2071,11.9,9.8,2,2,FoulBall,R,R,2026-09-06
OPP-11,H05,Changeup,1853,4.7,8.4,2,2,BallCalled,R,R,2026-09-06
OPP-11,H05,Curveball,2105,-1.5,-11.5,3,2,FoulBall,R,R,2026-09-06
OPP-11,H05,Curveball,2290,-5.8,-10.8,3,2,BallCalled,R,R,2026-09-06
OPP-11,H08,Fastball,2428,15.6,9.9,0,0,BallCalled,R,R,2026-09-06
OPP-11,H08,Fastball,2244,14.0,7.5,1,0,FoulBall,R,R,2026-09-06
OPP-11,H08,Fastball,2234,14.1,17.4,1,1,BallCalled,R,R,2026-09-06
OPP-11,H08,Fastball,2017,15.8,9.1,2,1,FoulBall,R,R,2026-09-06
OPP-11,H08,Slider,2413,-1.1,-10.4,2,2,InPlay,R,R,2026-09-06
OPP-11,H09,Fastball,2217,13.3,10.2,0,0,InPlay,R,R,2026-09-06
OPP-11,H07,Fastball,2259,17.5,4.9,0,0,FoulBall,R,R,2026-09-06
OPP-11,H07,Slider,2293,3.4,-5.3,0,1,BallCalled,R,R,2026-09-06
OPP-11,H07,Changeup,1745,7.0,14.7,1,1,StrikeSwinging,R,R,2026-09-06
OPP-11,H07,Changeup,1920,8.8,12.3,1,2,InPlay,R,R,2026-09-06
OPP-11,H05,Curveball,2400,-12.5,-6.6,0,0,FoulBall,R,R,2026-09-06
OPP-11,H05,Fastball,2399,11.9,6.0,0,1,BallCalled,R,R,2026-09-06
OPP-11,H05,Fastball,2212,15.6,12.3,1,1,StrikeCalled,R,R,2026-09-06
OPP-11,H05,Fastball,2182,11.7,3.3,1,2,StrikeSwinging,R,R,2026-09-06
OPP-11,H05,Fastball,2081,12.4,12.1,0,0,BallCalled,R,R,2026-09-06
OPP-11,H05,Fastball,2375,16.7,10.1,1,0,StrikeCalled,R,R,2026-09-06
OPP-11,H05,Fastball,2195,15.2,4.6,1,1,BallCalled,R,R,2026-09-06
OPP-11,H05,Fastball,2242,11.6,5.4,2,1,StrikeCalled,R,R,2026-09-06
OPP-11,H05,Fastball,2405,16.3,9.0,2,2,StrikeSwinging,R,R,2026-09-06
OPP-11,H03,Fastball,2274,13.8,12.2,0,0,InPlay,R,R,2026-09-06
OPP-11,H06,Fastball,1967,20.2,8.6,0,0,BallCalled,R,R,2026-09-06
OPP-11,H06,Fastball,2076,14.0,7.8,1,0,FoulBall,R,R,2026-09-06
